Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
Q96MU8	reviewed	KREM1_HUMAN	Kremen protein 1 (Dickkopf receptor) (Kringle domain-containing transmembrane protein 1) (Kringle-containing protein marking the eye and the nose)	Homo sapiens (Human)	473	KREMEN1	KREMEN1 KREMEN KRM1	5FWS;5FWT;5FWU;5FWV;5FWW;7BZT;7BZU;
Q96N21	reviewed	AP4AT_HUMAN	AP-4 complex accessory subunit Tepsin (ENTH domain-containing protein 2) (Epsin for AP-4) (Tetra-epsin)	Homo sapiens (Human)	525	TEPSIN	TEPSIN C17orf56 ENTHD2	5WF9;5WFB;
Q96N67	reviewed	DOCK7_HUMAN	Dedicator of cytokinesis protein 7	Homo sapiens (Human)	2140	DOCK7	DOCK7 KIAA1771	6AJ4;6AJL;
Q96NA2	reviewed	RILP_HUMAN	Rab-interacting lysosomal protein	Homo sapiens (Human)	401	RILP	RILP PP10141	1YHN;
Q96NC0	reviewed	ZMAT2_HUMAN	Zinc finger matrin-type protein 2	Homo sapiens (Human)	199	ZMAT2	ZMAT2	5O9Z;6AHD;7AAV;7ABF;7ABG;7ABI;
Q96NI6	reviewed	LRFN5_HUMAN	Leucine-rich repeat and fibronectin type-III domain-containing protein 5	Homo sapiens (Human)	719	LRFN5	LRFN5 C14orf146 SALM5	5XNP;5XNQ;5XWS;5XWT;
Q96NN9	reviewed	AIFM3_HUMAN	Apoptosis-inducing factor 3, EC 1.-.-.- (Apoptosis-inducing factor-like protein)	Homo sapiens (Human)	605	AIFM3	AIFM3 AIFL	5O9V;6QRM;6SJZ;6SK3;6SK8;6SKJ;
Q96NW4	reviewed	ANR27_HUMAN	Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein)	Homo sapiens (Human)	1050	ANKRD27	ANKRD27 PP12899	4B93;4CYM;4CZ2;6TL0;
Q96NW7	reviewed	LRRC7_HUMAN	Leucine-rich repeat-containing protein 7 (Densin-180, Densin) (Protein LAP1)	Homo sapiens (Human)	1537	LRRC7	LRRC7 KIAA1365 LAP1	6X5G;
Q96NX5	reviewed	KCC1G_HUMAN	Calcium/calmodulin-dependent protein kinase type 1G, EC 2.7.11.17 (CaM kinase I gamma, CaM kinase IG, CaM-KI gamma, CaMKI gamma, CaMKIG) (CaMK-like CREB kinase III, CLICK III)	Homo sapiens (Human)	476	CAMK1G	CAMK1G CLICK3 VWS1	2JAM;
Q96NY8	reviewed	NECT4_HUMAN	Nectin-4 (Ig superfamily receptor LNIR) (Nectin cell adhesion molecule 4) (Poliovirus receptor-related protein 4) [Cleaved into: Processed poliovirus receptor-related protein 4 ]	Homo sapiens (Human)	510	NECTIN4	NECTIN4 LNIR PRR4 PVRL4	4FRW;4GJT;4JJH;
Q96NY9	reviewed	MUS81_HUMAN	Crossover junction endonuclease MUS81, EC 3.1.22.-	Homo sapiens (Human)	551	MUS81	MUS81	2MC3;2ZIX;4P0P;4P0Q;4P0R;4P0S;6VWB;7BU5;7F6L;
Q96NZ8	reviewed	WFKN1_HUMAN	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1 (Growth and differentiation factor-associated serum protein 2, GASP-2, hGASP-2) (WAP, follistatin, immunoglobulin, Kunitz and NTR domain-containing protein)	Homo sapiens (Human)	548	WFIKKN1	WFIKKN1 C16orf12 GASP2 WFIKKN PSEC0040	2DDI;2DDJ;
Q96P09	reviewed	BIRC8_HUMAN	Baculoviral IAP repeat-containing protein 8 (Inhibitor of apoptosis-like protein 2, IAP-like protein 2, ILP-2) (Testis-specific inhibitor of apoptosis)	Homo sapiens (Human)	236	BIRC8	BIRC8 ILP2	1XB0;1XB1;
Q96P11	reviewed	NSUN5_HUMAN	28S rRNA (cytosine-C(5))-methyltransferase, EC 2.1.1.- (NOL1-related protein, NOL1R) (NOL1/NOP2/Sun domain family member 5) (Williams-Beuren syndrome chromosomal region 20A protein)	Homo sapiens (Human)	429	NSUN5	NSUN5 NSUN5A WBSCR20 WBSCR20A	2B9E;
Q96P16	reviewed	RPR1A_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein)	Homo sapiens (Human)	312	RPRD1A	RPRD1A P15RS	4JXT;4NAC;
Q96P20	reviewed	NLRP3_HUMAN	NACHT, LRR and PYD domains-containing protein 3 (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1, CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	Homo sapiens (Human)	1036	NLRP3	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1	2NAQ;3QF2;6NPY;7ALV;7PZC;7VTP;
Q96P47	reviewed	AGAP3_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3, AGAP-3 (CRAM-associated GTPase, CRAG) (Centaurin-gamma-3, Cnt-g3) (MR1-interacting protein, MRIP-1)	Homo sapiens (Human)	875	AGAP3	AGAP3 CENTG3	3IHW;
Q96P48	reviewed	ARAP1_HUMAN	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2, Cnt-d2)	Homo sapiens (Human)	1450	ARAP1	ARAP1 CENTD2 KIAA0782	4X1V;
Q96P70	reviewed	IPO9_HUMAN	Importin-9, Imp9 (Ran-binding protein 9, RanBP9)	Homo sapiens (Human)	1041	IPO9	IPO9 IMP9 KIAA1192 RANBP9 HSPC273	6N1Z;
Q96PC3	reviewed	AP1S3_HUMAN	AP-1 complex subunit sigma-3 (Adaptor protein complex AP-1 subunit sigma-1C) (Adaptor-related protein complex 1 subunit sigma-1C) (Clathrin assembly protein complex 1 sigma-1C small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1C subunit) (Sigma 1C subunit of AP-1 clathrin) (Sigma-adaptin 1C) (Sigma1C-adaptin)	Homo sapiens (Human)	154	AP1S3	AP1S3	4HMY;6CM9;6CRI;6D83;6D84;6DFF;
Q96PD4	reviewed	IL17F_HUMAN	Interleukin-17F, IL-17F (Cytokine ML-1)	Homo sapiens (Human)	163	IL17F	IL17F	1JPY;3JVF;5N92;5NAN;6HG4;6HG9;6HGO;6PPG;
Q96PE7	reviewed	MCEE_HUMAN	Methylmalonyl-CoA epimerase, mitochondrial, EC 5.1.99.1 (DL-methylmalonyl-CoA racemase)	Homo sapiens (Human)	176	MCEE	MCEE	3RMU;6QH4;
Q96PH1	reviewed	NOX5_HUMAN	NADPH oxidase 5, EC 1.6.3.-	Homo sapiens (Human)	765	NOX5	NOX5	6SZ5;
Q96PK6	reviewed	RBM14_HUMAN	RNA-binding protein 14 (Paraspeckle protein 2, PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein, SYT-interacting protein)	Homo sapiens (Human)	669	RBM14	RBM14 SIP	2DNP;
Q96PM5	reviewed	ZN363_HUMAN	RING finger and CHY zinc finger domain-containing protein 1, EC 2.3.2.27 (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING finger protein 199) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363) (p53-induced RING-H2 protein, hPirh2)	Homo sapiens (Human)	261	RCHY1	RCHY1 ARNIP CHIMP PIRH2 RNF199 ZNF363	2JRJ;2K2C;2K2D;
Q96PN6	reviewed	ADCYA_HUMAN	Adenylate cyclase type 10, EC 4.6.1.1 (AH-related protein) (Adenylate cyclase homolog) (Germ cell soluble adenylyl cyclase, hsAC, sAC) (Testicular soluble adenylyl cyclase)	Homo sapiens (Human)	1610	ADCY10	ADCY10 SAC	4CLF;4CLK;4CLL;4CLP;4CLS;4CLT;4CLU;4CLW;4CLY;4CLZ;4CM0;4CM2;4OYA;4OYB;4OYI;4OYM;4OYO;4OYP;4OYW;4OYX;4OYZ;4OZ2;4OZ3;4UST;4USU;4USV;4USW;5D0R;5IV3;5IV4;7OVD;
Q96PP8	reviewed	GBP5_HUMAN	Guanylate-binding protein 5, EC 3.6.5.- (GBP-TA antigen) (GTP-binding protein 5, GBP-5) (Guanine nucleotide-binding protein 5)	Homo sapiens (Human)	586	GBP5	GBP5 UNQ2427/PRO4987	7CKF;7E59;7E5A;
Q96PQ0	reviewed	SORC2_HUMAN	VPS10 domain-containing receptor SorCS2 [Cleaved into: SorCS2 122 kDa chain; SorCS2 104 kDa chain; SorCS2 18 kDa chain ]	Homo sapiens (Human)	1159	SORCS2	SORCS2 KIAA1329	1WGO;
Q96PS8	reviewed	AQP10_HUMAN	Aquaporin-10, AQP-10 (Aquaglyceroporin-10) (Small intestine aquaporin)	Homo sapiens (Human)	301	AQP10	AQP10	6F7H;
Q96PU4	reviewed	UHRF2_HUMAN	E3 ubiquitin-protein ligase UHRF2, EC 2.3.2.27 (Np95/ICBP90-like RING finger protein, Np95-like RING finger protein) (Nuclear protein 97) (Nuclear zinc finger protein Np97) (RING finger protein 107) (RING-type E3 ubiquitin transferase UHRF2) (Ubiquitin-like PHD and RING finger domain-containing protein 2) (Ubiquitin-like-containing PHD and RING finger domains protein 2)	Homo sapiens (Human)	802	UHRF2	UHRF2 NIRF RNF107	1WY8;1Z6U;2E6S;3OLN;4PW5;4PW6;4PW7;4TVR;5YCO;
Q96PU5	reviewed	NED4L_HUMAN	E3 ubiquitin-protein ligase NEDD4-like, EC 2.3.2.26, EC 2.3.2.36 (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	Homo sapiens (Human)	975	NEDD4L	NEDD4L KIAA0439 NEDL3	2LAJ;2LB2;2LTY;2MPT;2NSQ;2ONI;3JVZ;3JW0;5HPK;6ZBT;6ZC9;7LP1;7LP3;7LP4;7LP5;7NMZ;
Q96PU8	reviewed	QKI_HUMAN	Protein quaking, Hqk, HqkI	Homo sapiens (Human)	341	QKI	QKI HKQ	4JVH;
Q96PX8	reviewed	SLIK1_HUMAN	SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12)	Homo sapiens (Human)	696	SLITRK1	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266	4RCA;4RCW;
Q96PY5	reviewed	FMNL2_HUMAN	Formin-like protein 2 (Formin homology 2 domain-containing protein 2)	Homo sapiens (Human)	1086	FMNL2	FMNL2 FHOD2 KIAA1902	4YC7;
Q96PY6	reviewed	NEK1_HUMAN	Serine/threonine-protein kinase Nek1, EC 2.7.11.1 (Never in mitosis A-related kinase 1, NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	Homo sapiens (Human)	1258	NEK1	NEK1 KIAA1901	4APC;4B9D;
Q96PZ0	reviewed	PUS7_HUMAN	Pseudouridylate synthase 7 homolog, EC 5.4.99.-	Homo sapiens (Human)	661	PUS7	PUS7 KIAA1897	5KKP;
Q96PZ7	reviewed	CSMD1_HUMAN	CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)	Homo sapiens (Human)	3564	CSMD1	CSMD1 KIAA1890 UNQ5952/PRO19863	2EHF;
Q96Q04	reviewed	LMTK3_HUMAN	Serine/threonine-protein kinase LMTK3, EC 2.7.11.1 (Lemur tyrosine kinase 3)	Homo sapiens (Human)	1460	LMTK3	LMTK3 KIAA1883 TYKLM3	6SEQ;
Q96Q11	reviewed	TRNT1_HUMAN	CCA tRNA nucleotidyltransferase 1, mitochondrial, EC 2.7.7.72 (Mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase)	Homo sapiens (Human)	434	TRNT1	TRNT1 CGI-47	1OU5;4X4W;
Q96Q15	reviewed	SMG1_HUMAN	Serine/threonine-protein kinase SMG1, SMG-1, hSMG-1, EC 2.7.11.1 (Lambda/iota protein kinase C-interacting protein, Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)	Homo sapiens (Human)	3661	SMG1	SMG1 ATX KIAA0421 LIP	6L53;6L54;6SYT;6Z3R;7PW4;7PW5;7PW6;7PW7;7PW8;7PW9;
Q96Q77	reviewed	CIB3_HUMAN	Calcium and integrin-binding family member 3 (Kinase-interacting protein 3, KIP 3)	Homo sapiens (Human)	187	CIB3	CIB3 KIP3	6WU5;6WU7;6WUD;
Q96Q83	reviewed	ALKB3_HUMAN	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3, EC 1.14.11.33, EC 1.14.11.54 (Alkylated DNA repair protein alkB homolog 3, hABH3) (DEPC-1) (Prostate cancer antigen 1)	Homo sapiens (Human)	286	ALKBH3	ALKBH3 ABH3 DEPC1	2IUW;
Q96QB1	reviewed	RHG07_HUMAN	Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein, DLC-1) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12, StARD12) (StAR-related lipid transfer protein 12)	Homo sapiens (Human)	1528	DLC1	DLC1 ARHGAP7 KIAA1723 STARD12	2DKY;2GYT;2KAP;2LOZ;3KUQ;5FZT;
Q96QC0	reviewed	PP1RA_HUMAN	Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (Protein FB19) (p99)	Homo sapiens (Human)	940	PPP1R10	PPP1R10 CAT53 FB19 PNUTS	6ZV2;
Q96QE5	reviewed	TEFM_HUMAN	Transcription elongation factor, mitochondrial	Homo sapiens (Human)	360	TEFM	TEFM C17orf42	5OL8;5OL9;5OLA;
Q96QF0	reviewed	RAB3I_HUMAN	Rab-3A-interacting protein, Rab3A-interacting protein (Rabin-3) (SSX2-interacting protein)	Homo sapiens (Human)	476	RAB3IP	RAB3IP RABIN8	4LHX;4LHY;4LHZ;4UJ3;4UJ4;4UJ5;6F6P;
Q96QK1	reviewed	VPS35_HUMAN	Vacuolar protein sorting-associated protein 35, hVPS35 (Maternal-embryonic 3) (Vesicle protein sorting 35)	Homo sapiens (Human)	796	VPS35	VPS35 MEM3 TCCCTA00141	2R17;5F0J;5F0K;5F0L;5F0M;5F0P;5OSH;5OSI;7BLN;7BLO;
Q96QP1	reviewed	ALPK1_HUMAN	Alpha-protein kinase 1, EC 2.7.11.1 (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase)	Homo sapiens (Human)	1244	ALPK1	ALPK1 KIAA1527 LAK	5Z2C;
Q96QT6	reviewed	PHF12_HUMAN	PHD finger protein 12 (PHD factor 1, Pf1)	Homo sapiens (Human)	1004	PHF12	PHF12 KIAA1523	2L9S;2LKM;
Q96QU1	reviewed	PCD15_HUMAN	Protocadherin-15	Homo sapiens (Human)	1955	PCDH15	PCDH15 USH1F	4XHZ;5T4M;5T4N;5ULY;6E8F;6EB5;6MFO;6N2E;
Q96QV1	reviewed	HHIP_HUMAN	Hedgehog-interacting protein, HHIP, HIP	Homo sapiens (Human)	700	HHIP	HHIP HIP UNQ5825/PRO19644	2WFT;2WFX;2WG3;2WG4;3HO3;3HO4;3HO5;7PGK;7PGL;7PGM;7PGN;
Q96QV6	reviewed	H2A1A_HUMAN	Histone H2A type 1-A (H2A-clustered histone 1) (Histone H2A/r)	Homo sapiens (Human)	131	H2AC1	H2AC1 H2AFR HIST1H2AA	5GSU;5GT0;
Q96QZ7	reviewed	MAGI1_HUMAN	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Atrophin-1-interacting protein 3, AIP-3) (BAI1-associated protein 1, BAP-1) (Membrane-associated guanylate kinase inverted 1, MAGI-1) (Trinucleotide repeat-containing gene 19 protein) (WW domain-containing protein 3, WWP3)	Homo sapiens (Human)	1491	MAGI1	MAGI1 AIP3 BAIAP1 BAP1 TNRC19	1WBP;2KPK;2KPL;2Q9V;2R4H;2YSD;2YSE;2ZAJ;3BPU;5N7D;5N7F;5N7G;6TWU;6TWX;6TWY;
Q96RD7	reviewed	PANX1_HUMAN	Pannexin-1	Homo sapiens (Human)	426	PANX1	PANX1 MRS1 UNQ2529/PRO6028	6LTN;6LTO;6M02;6M66;6M67;6M68;6V6D;6WBF;6WBG;6WBI;6WBK;6WBL;6WBM;6WBN;7DWB;7F8J;7F8N;7F8O;7WSV;
Q96RE7	reviewed	NACC1_HUMAN	Nucleus accumbens-associated protein 1, NAC-1 (BTB/POZ domain-containing protein 14B)	Homo sapiens (Human)	527	NACC1	NACC1 BTBD14B NAC1	3GA1;4U2N;7BV9;
Q96RG2	reviewed	PASK_HUMAN	PAS domain-containing serine/threonine-protein kinase, PAS-kinase, PASKIN, hPASK, EC 2.7.11.1	Homo sapiens (Human)	1323	PASK	PASK KIAA0135	1LL8;3DLS;
Q96RI0	reviewed	PAR4_HUMAN	Proteinase-activated receptor 4, PAR-4 (Coagulation factor II receptor-like 3) (Thrombin receptor-like 3)	Homo sapiens (Human)	385	F2RL3	F2RL3 PAR4	2ZPK;3QDZ;
Q96RI1	reviewed	NR1H4_HUMAN	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14, RXR-interacting protein 14)	Homo sapiens (Human)	486	NR1H4	NR1H4 BAR FXR HRR1 RIP14	1OSH;3BEJ;3DCT;3DCU;3FLI;3FXV;3GD2;3HC5;3HC6;3L1B;3OKH;3OKI;3OLF;3OMK;3OMM;3OOF;3OOK;3P88;3P89;3RUT;3RUU;3RVF;4OIV;4QE6;4QE8;4WVD;5IAW;5ICK;5Q0I;5Q0J;5Q0K;5Q0L;5Q0M;5Q0N;5Q0O;5Q0P;5Q0Q;5Q0R;5Q0S;5Q0T;5Q0U;5Q0V;5Q0W;5Q0X;5Q0Y;5Q0Z;5Q10;5Q11;5Q12;5Q13;5Q14;5Q15;5Q16;5Q17;5Q18;5Q19;5Q1A;5Q1B;5Q1C;5Q1D;5Q1E;5Q1F;5Q1G;5Q1H;5Q1I;5WZX;5Y1J;5Y44;5Y49;5YXB;5YXD;5YXJ;5YXL;5Z12;6A5W;6A5X;6A5Y;6A5Z;6A60;6HL0;6HL1;6ITM;7D42;7VUE;
Q96RJ3	reviewed	TR13C_HUMAN	Tumor necrosis factor receptor superfamily member 13C (B-cell-activating factor receptor) (BAFF receptor, BAFF-R) (BLyS receptor 3) (CD antigen CD268)	Homo sapiens (Human)	184	TNFRSF13C	TNFRSF13C BAFFR BR3	1MPV;1OQE;1OSX;2HFG;3V56;4V46;
Q96RK0	reviewed	CIC_HUMAN	Protein capicua homolog	Homo sapiens (Human)	1608	CIC	CIC KIAA0306	2M41;4J2J;4J2L;6JRP;6KZG;6KZH;
Q96RK4	reviewed	BBS4_HUMAN	Bardet-Biedl syndrome 4 protein	Homo sapiens (Human)	519	BBS4	BBS4	6XT9;
Q96RL1	reviewed	UIMC1_HUMAN	BRCA1-A complex subunit RAP80 (Receptor-associated protein 80) (Retinoid X receptor-interacting protein 110) (Ubiquitin interaction motif-containing protein 1)	Homo sapiens (Human)	719	UIMC1	UIMC1 RAP80 RXRIP110	2MKF;2MKG;2N9E;2RR9;
Q96RN5	reviewed	MED15_HUMAN	Mediator of RNA polymerase II transcription subunit 15 (Activator-recruited cofactor 105 kDa component, ARC105) (CTG repeat protein 7a) (Mediator complex subunit 15) (Positive cofactor 2 glutamine/Q-rich-associated protein, PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein, TIG-1) (Trinucleotide repeat-containing gene 7 protein)	Homo sapiens (Human)	788	MED15	MED15 ARC105 CTG7A PCQAP TIG1 TNRC7	2GUT;7EMF;7ENA;7ENC;7ENJ;7LBM;
Q96RP3	reviewed	UCN2_HUMAN	Urocortin-2 (Stresscopin-related peptide) (Urocortin II, Ucn II) (Urocortin-related peptide)	Homo sapiens (Human)	112	UCN2	UCN2 SRP URP	2RMG;3N95;
Q96RP9	reviewed	EFGM_HUMAN	Elongation factor G, mitochondrial, EF-Gmt (Elongation factor G 1, mitochondrial, mEF-G 1) (Elongation factor G1, hEFG1)	Homo sapiens (Human)	751	GFM1	GFM1 EFG EFG1 GFM	6VLZ;6VMI;6YDP;6YDW;7A5K;
Q96RQ3	reviewed	MCCA_HUMAN	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial, MCCase subunit alpha, EC 6.4.1.4 (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	Homo sapiens (Human)	725	MCCC1	MCCC1 MCCA	2EJM;
Q96RR4	reviewed	KKCC2_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 2, CaM-KK 2, CaM-kinase kinase 2, CaMKK 2, EC 2.7.11.17 (Calcium/calmodulin-dependent protein kinase kinase beta, CaM-KK beta, CaM-kinase kinase beta, CaMKK beta)	Homo sapiens (Human)	588	CAMKK2	CAMKK2 CAMKKB KIAA0787	2ZV2;5UY6;5UYJ;5VT1;5YV8;5YV9;5YVA;5YVB;5YVC;6BKU;6BLE;6BQL;6BQP;6BQQ;6BRC;6CMJ;6EF5;6EWW;6FEL;6Y3O;6Y4K;6Y6B;6Y8A;
Q96RS0	reviewed	TGS1_HUMAN	Trimethylguanosine synthase, EC 2.1.1.- (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif, PIMT, PIPMT)	Homo sapiens (Human)	853	TGS1	TGS1 HCA137 NCOA6IP PIMT	3EGI;3GDH;
Q96RT1	reviewed	ERBIN_HUMAN	Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2)	Homo sapiens (Human)	1412	ERBIN	ERBIN ERBB2IP KIAA1225 LAP2	1MFG;1MFL;1N7T;2H3L;2QBW;3CH8;6Q0M;6Q0N;6Q0U;6UBH;7LUL;
Q96RT7	reviewed	GCP6_HUMAN	Gamma-tubulin complex component 6, GCP-6	Homo sapiens (Human)	1819	TUBGCP6	TUBGCP6 GCP6 KIAA1669	6M33;6V6C;6V6S;6X0U;7AS4;7QJ0;7QJ1;7QJ2;7QJ3;7QJ4;7QJ5;7QJ6;7QJ7;7QJ8;7QJ9;7QJA;7QJB;7QJC;7QJD;7QJE;
Q96RT8	reviewed	GCP5_HUMAN	Gamma-tubulin complex component 5, GCP-5	Homo sapiens (Human)	1024	TUBGCP5	TUBGCP5 GCP5 KIAA1899	6L81;6V69;6V6S;7AS4;7QJ0;7QJ1;7QJ2;7QJ3;7QJ4;7QJ5;7QJ6;7QJ7;7QJ8;7QJ9;7QJA;7QJB;7QJC;7QJD;7QJE;
Q96RU2	reviewed	UBP28_HUMAN	Ubiquitin carboxyl-terminal hydrolase 28, EC 3.4.19.12 (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28)	Homo sapiens (Human)	1077	USP28	USP28 KIAA1515	2LVA;2MUU;6H4H;6H4I;6HEH;6HEI;6HEJ;6HEK;
Q96RU3	reviewed	FNBP1_HUMAN	Formin-binding protein 1 (Formin-binding protein 17, hFBP17)	Homo sapiens (Human)	617	FNBP1	FNBP1 FBP17 KIAA0554	2EFL;
Q96RU8	reviewed	TRIB1_HUMAN	Tribbles homolog 1, TRB-1 (G-protein-coupled receptor-induced gene 2 protein, GIG-2) (SKIP1)	Homo sapiens (Human)	372	TRIB1	TRIB1 C8FW GIG2 TRB1	5CEK;5CEM;5IGO;5IGQ;6DC0;
Q96S42	reviewed	NODAL_HUMAN	Nodal homolog	Homo sapiens (Human)	347	NODAL	NODAL	4N1D;
Q96S44	reviewed	PRPK_HUMAN	EKC/KEOPS complex subunit TP53RK, EC 3.6.-.- (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase, EC 2.7.11.1) (p53-related protein kinase)	Homo sapiens (Human)	253	TP53RK	TP53RK C20orf64 PRPK	6WQX;
Q96S52	reviewed	PIGS_HUMAN	GPI transamidase component PIG-S (Phosphatidylinositol-glycan biosynthesis class S protein)	Homo sapiens (Human)	555	PIGS	PIGS UNQ1873/PRO4316	7W72;
Q96S55	reviewed	WRIP1_HUMAN	ATPase WRNIP1, EC 3.6.1.- (Werner helicase-interacting protein 1)	Homo sapiens (Human)	665	WRNIP1	WRNIP1 WHIP	3VHS;3VHT;
Q96S59	reviewed	RANB9_HUMAN	Ran-binding protein 9, RanBP9 (BPM-L) (BPM90) (Ran-binding protein M, RanBPM) (RanBP7)	Homo sapiens (Human)	729	RANBP9	RANBP9 RANBPM	5JI7;5JI9;5JIU;7NSC;
Q96SB4	reviewed	SRPK1_HUMAN	SRSF protein kinase 1, EC 2.7.11.1 (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1, SR-protein-specific kinase 1)	Homo sapiens (Human)	655	SRPK1	SRPK1	1WAK;1WBP;3BEG;4WUA;5MXX;5MY8;5NNG;5XV7;6FAD;7DD1;
Q96SD1	reviewed	DCR1C_HUMAN	Protein artemis, EC 3.1.-.- (DNA cross-link repair 1C protein) (Protein A-SCID) (SNM1 homolog C, hSNM1C) (SNM1-like protein)	Homo sapiens (Human)	692	DCLRE1C	DCLRE1C ARTEMIS ASCID SCIDA SNM1C	3W1B;3W1G;4HTP;6TT5;6WNL;6WO0;7ABS;7AF1;7AFS;7AFU;7AGI;7APV;7SGL;
Q96SI9	reviewed	STRBP_HUMAN	Spermatid perinuclear RNA-binding protein	Homo sapiens (Human)	672	STRBP	STRBP SPNR	2DMY;
Q96SL4	reviewed	GPX7_HUMAN	Glutathione peroxidase 7, GPx-7, GSHPx-7, EC 1.11.1.9 (CL683)	Homo sapiens (Human)	187	GPX7	GPX7 GPX6 UNQ469/PRO828	2P31;
Q96SN8	reviewed	CK5P2_HUMAN	CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)	Homo sapiens (Human)	1893	CDK5RAP2	CDK5RAP2 CEP215 KIAA1633	6X0V;
Q96ST2	reviewed	IWS1_HUMAN	Protein IWS1 homolog (IWS1-like protein)	Homo sapiens (Human)	819	IWS1	IWS1 IWS1L	6EMR;6ZV1;6ZV4;
Q96SW2	reviewed	CRBN_HUMAN	Protein cereblon	Homo sapiens (Human)	442	CRBN	CRBN AD-006	4M91;4TZ4;5FQD;5HXB;5V3O;6BN7;6BN8;6BN9;6BNB;6BOY;6H0F;6H0G;6UML;6XK9;7BQU;7BQV;7LPS;
Q96SZ5	reviewed	AEDO_HUMAN	2-aminoethanethiol dioxygenase, EC 1.13.11.19 (Cysteamine dioxygenase)	Homo sapiens (Human)	270	ADO	ADO C10orf22	7REI;
Q96T51	reviewed	RUFY1_HUMAN	RUN and FYVE domain-containing protein 1 (FYVE-finger protein EIP1) (La-binding protein 1) (Rab4-interacting protein) (Zinc finger FYVE domain-containing protein 12)	Homo sapiens (Human)	708	RUFY1	RUFY1 RABIP4 ZFYVE12	2YQM;2YW8;
Q96T58	reviewed	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	Homo sapiens (Human)	3664	SPEN	SPEN KIAA0929 MINT SHARP	1OW1;2RT5;4P6Q;
Q96T60	reviewed	PNKP_HUMAN	Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase, EC 3.1.3.32 (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase, EC 2.7.1.78 ]	Homo sapiens (Human)	521	PNKP	PNKP	2BRF;2W3O;
