Entry	Status	Ensembl transcript	Gene names  (primary )	3D	Cross-reference (InterPro)	Organism
P34059	reviewed	ENST00000268695;	GALNS	X-ray crystallography (2)	IPR017850;IPR035626;IPR024607;IPR000917;	Homo sapiens (Human)
Q7Z7M9	reviewed	ENST00000259056;	GALNT5		IPR001173;IPR029044;IPR035992;IPR000772;	Homo sapiens (Human)
P02792	reviewed	ENST00000331825;	FTL	Electron microscopy (1); X-ray crystallography (12)	IPR001519;IPR012347;IPR009040;IPR009078;IPR014034;IPR008331;	Homo sapiens (Human)
Q04609	reviewed	ENST00000256999 [Q04609-1];ENST00000340334 [Q04609-7];ENST00000356696 [Q04609-8];ENST00000533034 [Q04609-9];	FOLH1	X-ray crystallography (80)	IPR003137;IPR007484;IPR039373;IPR007365;IPR036757;	Homo sapiens (Human)
Q6P9A2	reviewed	ENST00000227756 [Q6P9A2-1];	GALNT18		IPR001173;IPR029044;IPR035992;IPR000772;	Homo sapiens (Human)
Q5T8I9	reviewed	ENST00000370032;ENST00000402983;ENST00000651461;	HENMT1	X-ray crystallography (2)	IPR026610;IPR029063;	Homo sapiens (Human)
P0DM35	reviewed	ENST00000464121;	MT1HL1		IPR003019;IPR017854;IPR023587;IPR000006;IPR001368;	Homo sapiens (Human)
Q9H9B1	reviewed	ENST00000371394 [Q9H9B1-2];ENST00000460843 [Q9H9B1-1];ENST00000462484 [Q9H9B1-4];	EHMT1	X-ray crystallography (20)	IPR002110;IPR020683;IPR036770;IPR038035;IPR043550;IPR007728;IPR001214;	Homo sapiens (Human)
Q8N4E7	reviewed	ENST00000321339;	FTMT	X-ray crystallography (5)	IPR001519;IPR012347;IPR009040;IPR009078;IPR014034;IPR008331;	Homo sapiens (Human)
A0AVI2	reviewed	ENST00000624922 [A0AVI2-1];	FER1L5		IPR000008;IPR035892;IPR037726;IPR037720;IPR037723;IPR037724;IPR037725;IPR029997;IPR012968;IPR037721;IPR012560;IPR012561;IPR032362;IPR006614;	Homo sapiens (Human)
P04899	reviewed	ENST00000266027 [P04899-6];ENST00000313601 [P04899-1];ENST00000422163 [P04899-5];ENST00000440628 [P04899-6];ENST00000451956 [P04899-3];	GNAI2	Electron microscopy (1)	IPR001408;IPR001019;IPR011025;IPR027417;	Homo sapiens (Human)
Q86SR1	reviewed	ENST00000297107 [Q86SR1-1];ENST00000377661 [Q86SR1-2];ENST00000425427 [Q86SR1-3];	GALNT10	X-ray crystallography (2)	IPR001173;IPR029044;IPR035992;IPR000772;	Homo sapiens (Human)
P02008	reviewed	ENST00000252951;	HBZ	X-ray crystallography (2)	IPR000971;IPR009050;IPR012292;IPR002338;IPR002340;	Homo sapiens (Human)
Q9NWT6	reviewed	ENST00000299163;	HIF1AN	X-ray crystallography (45)	IPR041667;IPR027445;IPR027452;IPR003347;	Homo sapiens (Human)
Q53H82	reviewed	ENST00000276590;ENST00000522447;	LACTB2	X-ray crystallography (1)	IPR041516;IPR001279;IPR036866;IPR036388;	Homo sapiens (Human)
O43766	reviewed	ENST00000340169 [O43766-2];ENST00000381846 [O43766-3];ENST00000640888 [O43766-1];	LIAS		IPR013785;IPR006638;IPR031691;IPR003698;IPR007197;	Homo sapiens (Human)
Q96KR4	reviewed	ENST00000330198 [Q96KR4-1];ENST00000420910 [Q96KR4-3];ENST00000482695 [Q96KR4-2];	LMLN		IPR001577;	Homo sapiens (Human)
O60476	reviewed	ENST00000356554;	MAN1A2		IPR012341;IPR001382;IPR036026;	Homo sapiens (Human)
Q6MZM0	reviewed	ENST00000315765;	HEPHL1		IPR011706;IPR011707;IPR033138;IPR002355;IPR008972;	Homo sapiens (Human)
P09238	reviewed	ENST00000279441;	MMP10	X-ray crystallography (3)	IPR000585;IPR036375;IPR018487;IPR018486;IPR033739;IPR024079;IPR001818;IPR021190;IPR021158;IPR006026;IPR002477;IPR036365;	Homo sapiens (Human)
Q93083	reviewed		MT1L		IPR003019;IPR017854;IPR023587;IPR000006;IPR018064;	Homo sapiens (Human)
Q5VVJ2	reviewed	ENST00000472487 [Q5VVJ2-1];ENST00000622766 [Q5VVJ2-3];	MYSM1	NMR spectroscopy (2)	IPR009057;IPR000555;IPR037518;IPR033497;IPR001005;IPR017884;IPR007526;	Homo sapiens (Human)
Q9ULC6	reviewed	ENST00000375471;ENST00000631074;	PADI1	X-ray crystallography (1)	IPR008972;IPR004303;IPR013530;IPR036556;IPR013732;IPR038685;IPR013733;	Homo sapiens (Human)
Q17RS7	reviewed	ENST00000317402;ENST00000381254;	GEN1	X-ray crystallography (1)	IPR036279;IPR041012;IPR008918;IPR029060;IPR006086;IPR006084;IPR006085;	Homo sapiens (Human)
Q7Z4T8	reviewed	ENST00000392800 [Q7Z4T8-1];ENST00000416062 [Q7Z4T8-2];ENST00000431418 [Q7Z4T8-1];ENST00000448366 [Q7Z4T8-2];ENST00000616416 [Q7Z4T8-1];	GALNTL5		IPR001173;IPR029044;	Homo sapiens (Human)
Q9BQS7	reviewed	ENST00000336279 [Q9BQS7-4];ENST00000343002 [Q9BQS7-1];ENST00000519389 [Q9BQS7-3];	HEPH		IPR011706;IPR011707;IPR033138;IPR002355;IPR008972;IPR027154;	Homo sapiens (Human)
Q03164	reviewed	ENST00000389506 [Q03164-1];ENST00000534358 [Q03164-3];ENST00000649699 [Q03164-2];	KMT2A	Electron microscopy (6); X-ray crystallography (20); NMR spectroscopy (11)	IPR001487;IPR036427;IPR034732;IPR003889;IPR003888;IPR037927;IPR041958;IPR042023;IPR042025;IPR044133;IPR016569;IPR003616;IPR001214;IPR002857;IPR011011;IPR001965;IPR019787;IPR013083;	Homo sapiens (Human)
Q4FZB7	reviewed	ENST00000304363 [Q4FZB7-1];ENST00000401547 [Q4FZB7-2];ENST00000405515 [Q4FZB7-2];ENST00000441488 [Q4FZB7-4];ENST00000615954 [Q4FZB7-1];	KMT5B	X-ray crystallography (3)	IPR041938;IPR044424;IPR001214;IPR039977;IPR025790;	Homo sapiens (Human)
Q99732	reviewed	ENST00000339430 [Q99732-1];ENST00000413364 [Q99732-3];ENST00000570904 [Q99732-1];ENST00000571688 [Q99732-1];ENST00000574763 [Q99732-1];ENST00000576036 [Q99732-1];ENST00000622633 [Q99732-1];	LITAF		IPR006629;IPR037519;	Homo sapiens (Human)
O00187	reviewed	ENST00000400897 [O00187-1];ENST00000400898 [O00187-2];	MASP2	X-ray crystallography (6)	IPR000859;IPR001881;IPR000742;IPR000152;IPR018097;IPR037571;IPR009003;IPR043504;IPR001314;IPR035914;IPR035976;IPR000436;IPR001254;IPR033116;	Homo sapiens (Human)
Q16819	reviewed	ENST00000230588;	MEP1A		IPR013320;IPR000742;IPR000998;IPR002083;IPR008294;IPR034301;IPR024079;IPR001506;IPR006026;IPR008974;IPR034038;	Homo sapiens (Human)
Q9Y5R2	reviewed	ENST00000246186;	MMP24		IPR000585;IPR036375;IPR018487;IPR018486;IPR033739;IPR024079;IPR028723;IPR001818;IPR021190;IPR021805;IPR006026;IPR002477;IPR036365;	Homo sapiens (Human)
Q05BQ5	reviewed	ENST00000376381 [Q05BQ5-3];ENST00000405860 [Q05BQ5-2];ENST00000415868 [Q05BQ5-1];ENST00000586178 [Q05BQ5-1];	MBTD1	X-ray crystallography (3)	IPR004092;IPR012313;IPR038603;	Homo sapiens (Human)
Q9BUE6	reviewed	ENST00000375991 [Q9BUE6-1];	ISCA1		IPR000361;IPR016092;IPR017870;IPR035903;	Homo sapiens (Human)
Q8IV20	reviewed	ENST00000325686;ENST00000441843;	LACC1		IPR003730;IPR038371;IPR011324;	Homo sapiens (Human)
Q5TFE4	reviewed	ENST00000319550 [Q5TFE4-1];	NT5DC1		IPR036412;IPR008380;IPR023214;	Homo sapiens (Human)
Q9HBH9	reviewed	ENST00000250896 [Q9HBH9-1];ENST00000309340 [Q9HBH9-2];	MKNK2	X-ray crystallography (12)	IPR011009;IPR000719;IPR017441;IPR008271;	Homo sapiens (Human)
P46531	reviewed	ENST00000651671;	NOTCH1	Electron microscopy (1); X-ray crystallography (20); NMR spectroscopy (3)	IPR002110;IPR020683;IPR036770;IPR024600;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR009030;IPR008297;IPR035993;IPR022362;IPR000800;IPR010660;IPR011656;	Homo sapiens (Human)
P29375	reviewed	ENST00000399788 [P29375-1];	KDM5A	X-ray crystallography (41); NMR spectroscopy (5)	IPR001606;IPR036431;IPR003347;IPR003349;IPR013637;IPR019786;IPR004198;IPR011011;IPR001965;IPR019787;IPR013083;	Homo sapiens (Human)
Q9UBN7	reviewed	ENST00000334136 [Q9UBN7-1];ENST00000376619 [Q9UBN7-1];ENST00000643374 [Q9UBN7-1];ENST00000644068 [Q9UBN7-1];	HDAC6	X-ray crystallography (17)	IPR000286;IPR023801;IPR037138;IPR023696;IPR013083;IPR001607;	Homo sapiens (Human)
P09601	reviewed	ENST00000216117;	HMOX1	X-ray crystallography (26)	IPR002051;IPR016053;IPR016084;IPR018207;	Homo sapiens (Human)
Q6ZQW0	reviewed	ENST00000502986 [Q6ZQW0-1];	IDO2		IPR000898;IPR037217;	Homo sapiens (Human)
Q9NX62	reviewed	ENST00000262644;	BPNT2		IPR000760;IPR020550;	Homo sapiens (Human)
Q8NHM5	reviewed	ENST00000377069 [Q8NHM5-4];ENST00000377071 [Q8NHM5-1];ENST00000611216 [Q8NHM5-5];	KDM2B	X-ray crystallography (3)	IPR041667;IPR001810;IPR041070;IPR003347;IPR006553;IPR032675;IPR002857;IPR011011;IPR001965;IPR019787;IPR013083;	Homo sapiens (Human)
Q8N371	reviewed	ENST00000286096 [Q8N371-1];ENST00000441782 [Q8N371-3];ENST00000568965 [Q8N371-2];	KDM8	X-ray crystallography (20)	IPR041667;IPR003347;	Homo sapiens (Human)
Q9UIF7	reviewed	ENST00000354383 [Q9UIF7-5];ENST00000355498 [Q9UIF7-6];ENST00000372098 [Q9UIF7-1];ENST00000372104 [Q9UIF7-6];ENST00000372110 [Q9UIF7-2];ENST00000372115 [Q9UIF7-3];ENST00000448481 [Q9UIF7-4];ENST00000456914 [Q9UIF7-6];ENST00000672818 [Q9UIF7-1];	MUTYH	X-ray crystallography (1); NMR spectroscopy (1)	IPR011257;IPR004036;IPR003651;IPR004035;IPR003265;IPR000445;IPR023170;IPR044298;IPR029119;IPR015797;IPR000086;	Homo sapiens (Human)
O43593	reviewed	ENST00000312841 [O43593-2];ENST00000381418 [O43593-1];ENST00000680789 [O43593-1];	HR		IPR003347;	Homo sapiens (Human)
P14902	reviewed	ENST00000518237;ENST00000522495;	IDO1	X-ray crystallography (48)	IPR000898;IPR037217;	Homo sapiens (Human)
Q14623	reviewed	ENST00000295731;	IHH	X-ray crystallography (8)	IPR001657;IPR001767;IPR009045;IPR000320;IPR003586;IPR003587;IPR036844;IPR033385;IPR006141;	Homo sapiens (Human)
Q6DN12	reviewed	ENST00000357742 [Q6DN12-1];ENST00000451018 [Q6DN12-2];ENST00000456504 [Q6DN12-6];ENST00000557742 [Q6DN12-4];	MCTP2	NMR spectroscopy (1)	IPR000008;IPR035892;IPR013583;	Homo sapiens (Human)
Q9NXR8	reviewed	ENST00000315870 [Q9NXR8-1];ENST00000339121 [Q9NXR8-2];ENST00000427726 [Q9NXR8-3];	ING3	NMR spectroscopy (1)	IPR038004;IPR042020;IPR028651;IPR024610;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;	Homo sapiens (Human)
Q15652	reviewed	ENST00000399262 [Q15652-1];ENST00000542921 [Q15652-3];	JMJD1C	X-ray crystallography (2)	IPR003347;	Homo sapiens (Human)
Q8N594	reviewed	ENST00000262966 [Q8N594-1];ENST00000359935 [Q8N594-2];	MPND		IPR000555;IPR037518;IPR040843;	Homo sapiens (Human)
Q9NZB8	reviewed	ENST00000340692 [Q9NZB8-1];ENST00000373181 [Q9NZB8-4];ENST00000373188 [Q9NZB8-5];ENST00000373195 [Q9NZB8-7];	MOCS1		IPR013785;IPR006638;IPR023045;IPR013483;IPR000385;IPR036522;IPR010505;IPR002820;IPR007197;	Homo sapiens (Human)
P08253	reviewed	ENST00000219070 [P08253-1];ENST00000437642 [P08253-3];ENST00000543485 [P08253-2];ENST00000570308 [P08253-2];	MMP2	X-ray crystallography (7); NMR spectroscopy (4)	IPR028708;IPR000562;IPR036943;IPR000585;IPR036375;IPR018487;IPR018486;IPR013806;IPR033739;IPR024079;IPR001818;IPR021190;IPR021158;IPR006026;IPR002477;IPR036365;IPR036366;	Homo sapiens (Human)
O75592	reviewed	ENST00000544440 [O75592-1];	MYCBP2	X-ray crystallography (2)	IPR004939;IPR017868;IPR008979;IPR014756;IPR012983;IPR038648;IPR009091;IPR000408;IPR003646;IPR001841;IPR013083;	Homo sapiens (Human)
Q9UGB7	reviewed	ENST00000216075 [Q9UGB7-1];ENST00000395733 [Q9UGB7-2];	MIOX	X-ray crystallography (1)	IPR007828;	Homo sapiens (Human)
O00587	reviewed	ENST00000356998 [O00587-1];ENST00000416983 [O00587-2];	MFNG		IPR017374;IPR003378;	Homo sapiens (Human)
P25713	reviewed	ENST00000200691;	MT3	NMR spectroscopy (3)	IPR003019;IPR017854;IPR023587;IPR000006;IPR018064;	Homo sapiens (Human)
Q99972	reviewed	ENST00000037502;	MYOC	X-ray crystallography (10)	IPR031213;IPR003112;	Homo sapiens (Human)
P49821	reviewed	ENST00000322776 [P49821-1];ENST00000529927 [P49821-2];ENST00000647561 [P49821-1];	NDUFV1	Electron microscopy (4)	IPR001949;IPR011537;IPR011538;IPR037225;IPR019575;IPR037207;IPR019554;	Homo sapiens (Human)
Q08209	reviewed	ENST00000323055 [Q08209-3];ENST00000394853 [Q08209-2];ENST00000394854 [Q08209-1];ENST00000512215 [Q08209-4];	PPP3CA	X-ray crystallography (15); NMR spectroscopy (2)	IPR004843;IPR029052;IPR041751;IPR043360;IPR006186;	Homo sapiens (Human)
P16298	reviewed	ENST00000360663 [P16298-1];ENST00000394828 [P16298-3];ENST00000394829 [P16298-4];	PPP3CB	X-ray crystallography (3)	IPR004843;IPR029052;IPR041751;IPR043360;IPR006186;	Homo sapiens (Human)
P48454	reviewed	ENST00000240139 [P48454-1];ENST00000289963 [P48454-2];ENST00000397775 [P48454-3];	PPP3CC		IPR004843;IPR029052;IPR041751;IPR043360;IPR006186;	Homo sapiens (Human)
Q8WZA1	reviewed	ENST00000371984 [Q8WZA1-1];ENST00000371992 [Q8WZA1-2];	POMGNT1	X-ray crystallography (10)	IPR004139;IPR039477;IPR029044;IPR039474;	Homo sapiens (Human)
P78549	reviewed	ENST00000219066 [P78549-1];ENST00000651570 [P78549-2];	NTHL1		IPR011257;IPR004036;IPR003651;IPR003265;IPR000445;IPR023170;IPR030841;	Homo sapiens (Human)
Q9NZJ9	reviewed	ENST00000337179 [Q9NZJ9-2];ENST00000415493 [Q9NZJ9-1];ENST00000547014 [Q9NZJ9-3];	NUDT4	X-ray crystallography (1)	IPR015797;IPR020084;IPR000086;	Homo sapiens (Human)
Q8WV74	reviewed	ENST00000301490 [Q8WV74-2];ENST00000376693 [Q8WV74-1];	NUDT8		IPR015797;IPR000086;	Homo sapiens (Human)
Q9H9V9	reviewed	ENST00000438896;	JMJD4		IPR003347;	Homo sapiens (Human)
Q9NVV4	reviewed	ENST00000263063 [Q9NVV4-1];	MTPAP	X-ray crystallography (1)	IPR043519;IPR002058;IPR041252;	Homo sapiens (Human)
Q9Y6V0	reviewed	ENST00000333891 [Q9Y6V0-5];ENST00000423517 [Q9Y6V0-6];ENST00000618073 [Q9Y6V0-3];	PCLO	NMR spectroscopy (1)	IPR000008;IPR035892;IPR042720;IPR001478;IPR036034;IPR030629;IPR011011;IPR008899;IPR013083;	Homo sapiens (Human)
Q15811	reviewed	ENST00000381291 [Q15811-2];ENST00000381318 [Q15811-1];ENST00000399338 [Q15811-5];ENST00000399349 [Q15811-3];ENST00000399352 [Q15811-7];ENST00000399353 [Q15811-10];ENST00000399367 [Q15811-8];	ITSN1	X-ray crystallography (9); NMR spectroscopy (2)	IPR000008;IPR035892;IPR035899;IPR000219;IPR011992;IPR018247;IPR002048;IPR000261;IPR001331;IPR011993;IPR001849;IPR036028;IPR001452;	Homo sapiens (Human)
O75164	reviewed	ENST00000372396 [O75164-1];	KDM4A	X-ray crystallography (83)	IPR034732;IPR003347;IPR003349;IPR040477;IPR002999;IPR011011;IPR001965;IPR013083;	Homo sapiens (Human)
Q13572	reviewed	ENST00000267615 [Q13572-1];ENST00000354313 [Q13572-2];ENST00000556603 [Q13572-1];ENST00000614271 [Q13572-1];ENST00000617836 [Q13572-2];ENST00000626153 [Q13572-1];	ITPK1	X-ray crystallography (3)	IPR011761;IPR008656;IPR040464;IPR041429;	Homo sapiens (Human)
Q9UIQ6	reviewed	ENST00000231368 [Q9UIQ6-1];ENST00000395770 [Q9UIQ6-2];	LNPEP	X-ray crystallography (6)	IPR042097;IPR034017;IPR024571;IPR034016;IPR001930;IPR014782;	Homo sapiens (Human)
A4D2B0	reviewed	ENST00000398075;	MBLAC1	X-ray crystallography (1)	IPR039344;IPR001279;IPR036866;	Homo sapiens (Human)
P08473	reviewed	ENST00000360490;ENST00000460393;ENST00000462745;ENST00000473730;ENST00000491026;ENST00000492661;ENST00000493237;ENST00000675418;ENST00000680057;ENST00000680282;	MME	Model (2); X-ray crystallography (16)	IPR024079;IPR029727;IPR000718;IPR018497;IPR042089;IPR008753;	Homo sapiens (Human)
Q99797	reviewed	ENST00000382172;	MIPEP		IPR024079;IPR024077;IPR001567;	Homo sapiens (Human)
Q08499	reviewed	ENST00000309641 [Q08499-7];ENST00000317118 [Q08499-8];ENST00000340635 [Q08499-1];ENST00000358923 [Q08499-5];ENST00000360047 [Q08499-2];ENST00000405755 [Q08499-9];ENST00000502484 [Q08499-11];ENST00000502575 [Q08499-12];ENST00000503258 [Q08499-10];ENST00000507116 [Q08499-6];	PDE4D	X-ray crystallography (83); NMR spectroscopy (1)	IPR003607;IPR040844;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
Q9BT23	reviewed	ENST00000259006;ENST00000578061;ENST00000578402;	LIMD2	NMR spectroscopy (1)	IPR044115;IPR001781;	Homo sapiens (Human)
P16455	reviewed	ENST00000651593;	MGMT	X-ray crystallography (7)	IPR001497;IPR014048;IPR036217;IPR008332;IPR036631;IPR036388;	Homo sapiens (Human)
Q16820	reviewed	ENST00000269202;	MEP1B	X-ray crystallography (3)	IPR013320;IPR000742;IPR000998;IPR002083;IPR008294;IPR034302;IPR024079;IPR001506;IPR006026;IPR008974;IPR034038;	Homo sapiens (Human)
Q86TA1	reviewed	ENST00000262244;	MOB3B		IPR005301;IPR036703;	Homo sapiens (Human)
Q14896	reviewed	ENST00000545968 [Q14896-1];	MYBPC3	Electron microscopy (3); X-ray crystallography (2); NMR spectroscopy (7)	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR040849;	Homo sapiens (Human)
P29474	reviewed	ENST00000297494 [P29474-1];ENST00000467517 [P29474-3];ENST00000484524 [P29474-2];	NOS3	X-ray crystallography (43); NMR spectroscopy (3)	IPR003097;IPR017927;IPR001094;IPR008254;IPR001709;IPR029039;IPR039261;IPR023173;IPR012144;IPR004030;IPR036119;IPR001433;IPR017938;	Homo sapiens (Human)
Q9NY59	reviewed	ENST00000219334 [Q9NY59-1];ENST00000563226 [Q9NY59-2];	SMPD3	X-ray crystallography (1)	IPR036691;IPR005135;IPR017766;	Homo sapiens (Human)
Q96G61	reviewed	ENST00000375992;	NUDT11		IPR015797;IPR020084;IPR000086;	Homo sapiens (Human)
Q13946	reviewed	ENST00000379419 [Q13946-2];ENST00000396642 [Q13946-3];ENST00000401827 [Q13946-1];	PDE7A	X-ray crystallography (4)	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
P53609	reviewed	ENST00000379615 [P53609-2];ENST00000419445 [P53609-1];	PGGT1B		IPR041960;IPR001330;IPR008930;	Homo sapiens (Human)
Q9UPP1	reviewed	ENST00000322659 [Q9UPP1-5];ENST00000338154 [Q9UPP1-2];ENST00000338946 [Q9UPP1-4];ENST00000357988 [Q9UPP1-1];	PHF8	X-ray crystallography (5)	IPR041070;IPR003347;IPR019786;IPR011011;IPR001965;IPR019787;	Homo sapiens (Human)
Q96AZ6	reviewed	ENST00000306072 [Q96AZ6-1];ENST00000379224 [Q96AZ6-1];ENST00000560741 [Q96AZ6-1];	ISG20	X-ray crystallography (1)	IPR013520;IPR012337;IPR036397;	Homo sapiens (Human)
P30613	reviewed	ENST00000342741 [P30613-1];ENST00000392414 [P30613-2];ENST00000571194 [P30613-2];ENST00000572740 [P30613-1];	PKLR	X-ray crystallography (10)	IPR001697;IPR015813;IPR040442;IPR011037;IPR018209;IPR015793;IPR015795;IPR036918;IPR015806;	Homo sapiens (Human)
Q9NPI5	reviewed	ENST00000168977 [Q9NPI5-1];ENST00000593949 [Q9NPI5-3];ENST00000616156 [Q9NPI5-3];	NMRK2		IPR027417;	Homo sapiens (Human)
O95263	reviewed	ENST00000264917 [O95263-1];ENST00000333194 [O95263-3];ENST00000340978 [O95263-6];ENST00000342343 [O95263-4];ENST00000346042 [O95263-2];ENST00000505283 [O95263-5];	PDE8B		IPR003607;IPR000014;IPR035965;IPR023088;IPR002073;IPR036971;IPR023174;IPR013938;	Homo sapiens (Human)
Q9NY28	reviewed	ENST00000252318;	GALNT8		IPR001173;IPR029044;IPR035992;IPR000772;	Homo sapiens (Human)
P07902	reviewed	ENST00000378842 [P07902-1];ENST00000450095 [P07902-2];	GALT	Model (1); X-ray crystallography (2)	IPR001937;IPR019779;IPR005850;IPR005849;IPR036265;	Homo sapiens (Human)
Q9H239	reviewed	ENST00000605424 [Q9H239-1];ENST00000611911 [Q9H239-1];ENST00000612672 [Q9H239-2];ENST00000632360 [Q9H239-2];	MMP28		IPR000585;IPR036375;IPR018487;IPR033739;IPR024079;IPR001818;IPR021190;IPR006026;IPR002477;IPR036365;	Homo sapiens (Human)
P07438	reviewed	ENST00000334346;	MT1B		IPR003019;IPR017854;IPR023587;IPR000006;IPR018064;	Homo sapiens (Human)
Q9NPG2	reviewed	ENST00000298352;	NGB	X-ray crystallography (2)	IPR000971;IPR009050;IPR012292;	Homo sapiens (Human)
Q96IV0	reviewed	ENST00000280700 [Q96IV0-1];ENST00000396649 [Q96IV0-3];ENST00000417874 [Q96IV0-5];ENST00000428257 [Q96IV0-2];	NGLY1	X-ray crystallography (2)	IPR008979;IPR038765;IPR038680;IPR006588;IPR036339;IPR018997;IPR002931;	Homo sapiens (Human)
O14786	reviewed	ENST00000265371 [O14786-1];ENST00000374821 [O14786-3];ENST00000374822 [O14786-2];ENST00000374867 [O14786-1];	NRP1	X-ray crystallography (19)	IPR013320;IPR000859;IPR000421;IPR008979;IPR000998;IPR014648;IPR022579;IPR027146;IPR035914;	Homo sapiens (Human)
Q9BQG2	reviewed	ENST00000230792 [Q9BQG2-1];ENST00000507423 [Q9BQG2-2];	NUDT12	X-ray crystallography (1)	IPR002110;IPR020683;IPR036770;IPR015375;IPR015797;IPR020084;IPR000086;IPR015376;	Homo sapiens (Human)
P22079	reviewed	ENST00000262290 [P22079-1];ENST00000421678 [P22079-2];ENST00000582328 [P22079-2];	LPO		IPR019791;IPR010255;IPR037120;IPR029587;	Homo sapiens (Human)
O43824	reviewed	ENST00000326153;	GTPBP6		IPR030394;IPR006073;IPR032305;IPR016496;IPR025121;IPR042108;IPR027417;	Homo sapiens (Human)
P02790	reviewed	ENST00000265983;	HPX		IPR016358;IPR000585;IPR036375;IPR018487;IPR018486;	Homo sapiens (Human)
Q969R5	reviewed	ENST00000216237 [Q969R5-1];ENST00000452106 [Q969R5-2];	L3MBTL2	X-ray crystallography (2); NMR spectroscopy (1)	IPR038038;IPR004092;IPR012313;IPR038603;	Homo sapiens (Human)
Q9Y2E5	reviewed	ENST00000285599 [Q9Y2E5-1];	MAN2B2		IPR011013;IPR041147;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;IPR013780;	Homo sapiens (Human)
Q9P0N8	reviewed	ENST00000215555 [Q9P0N8-1];ENST00000381035 [Q9P0N8-2];ENST00000602117 [Q9P0N8-1];	MARCHF2		IPR011016;IPR013083;	Homo sapiens (Human)
Q6UVY6	reviewed	ENST00000336749 [Q6UVY6-2];ENST00000367963 [Q6UVY6-1];	MOXD1		IPR014784;IPR000323;IPR036939;IPR024548;IPR000945;IPR005018;IPR028463;IPR008977;IPR028460;	Homo sapiens (Human)
O15091	reviewed	ENST00000250377 [O15091-2];ENST00000321130 [O15091-3];ENST00000534898 [O15091-1];ENST00000603544 [O15091-2];ENST00000604948 [O15091-4];ENST00000605870 [O15091-3];	PRORP	X-ray crystallography (3)	IPR033495;IPR031595;IPR011990;	Homo sapiens (Human)
O43482	reviewed	ENST00000220514;	OIP5		IPR034752;IPR004910;	Homo sapiens (Human)
O75251	reviewed	ENST00000233627 [O75251-1];ENST00000313408 [O75251-2];ENST00000546283 [O75251-2];	NDUFS7	Electron microscopy (4)	IPR006137;IPR006138;	Homo sapiens (Human)
Q9P2S2	reviewed	ENST00000265459 [Q9P2S2-1];ENST00000377559 [Q9P2S2-2];	NRXN2		IPR013320;IPR000742;IPR001791;IPR003585;	Homo sapiens (Human)
P0C024	reviewed	ENST00000268533 [P0C024-1];ENST00000437314 [P0C024-2];ENST00000564085 [P0C024-3];	NUDT7	X-ray crystallography (38)	IPR015797;IPR000086;IPR000059;	Homo sapiens (Human)
P0CE72	reviewed	ENST00000242104;ENST00000416608;	OCM	NMR spectroscopy (1)	IPR011992;IPR018247;IPR002048;IPR008080;	Homo sapiens (Human)
Q9H9T3	reviewed	ENST00000256398 [Q9H9T3-1];ENST00000380353 [Q9H9T3-5];ENST00000521015 [Q9H9T3-2];ENST00000537665 [Q9H9T3-4];	ELP3		IPR016181;IPR039661;IPR034687;IPR006638;IPR000182;IPR032432;IPR007197;IPR023404;	Homo sapiens (Human)
P09467	reviewed	ENST00000375326;ENST00000415431;	FBP1	X-ray crystallography (41)	IPR044015;IPR000146;IPR033391;IPR028343;IPR020548;	Homo sapiens (Human)
Q7L5A8	reviewed	ENST00000219368 [Q7L5A8-1];	FA2H		IPR001199;IPR036400;IPR018506;IPR006694;IPR014430;	Homo sapiens (Human)
P80404	reviewed	ENST00000268251;ENST00000396600;ENST00000425191;	ABAT		IPR004631;IPR005814;IPR015424;IPR015422;IPR015421;	Homo sapiens (Human)
Q6PIY7	reviewed	ENST00000296783 [Q6PIY7-1];ENST00000423041 [Q6PIY7-2];ENST00000428308 [Q6PIY7-1];ENST00000453514 [Q6PIY7-1];	TENT2		IPR043519;IPR002058;	Homo sapiens (Human)
A8MTJ3	reviewed	ENST00000398291;	GNAT3		IPR001408;IPR001019;IPR011025;IPR027417;	Homo sapiens (Human)
Q49A17	reviewed	ENST00000506823 [Q49A17-1];ENST00000508122 [Q49A17-2];	GALNTL6		IPR001173;IPR029044;IPR035992;IPR000772;	Homo sapiens (Human)
P14314	reviewed	ENST00000587327 [P14314-2];ENST00000589838 [P14314-1];ENST00000591462 [P14314-2];	PRKCSH		IPR011992;IPR018247;IPR002048;IPR039794;IPR036055;IPR002172;IPR009011;IPR036607;IPR028146;	Homo sapiens (Human)
Q9Y5K2	reviewed	ENST00000431178 [Q9Y5K2-2];	KLK4	X-ray crystallography (10)	IPR009003;IPR043504;IPR001314;IPR001254;IPR018114;IPR033116;	Homo sapiens (Human)
A0A1B0GVX0	reviewed	ENST00000636296;ENST00000637237;	LITAFD		IPR006629;IPR037519;	Homo sapiens (Human)
